Pressure Volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 23339.353
nan nan
872734.8348844079 25354.821999999993
705855.8724351746 26404.668999999994
563553.8286659151 27483.102999999996
451293.78868094704 28590.508000000005
nan nan
283345.0286796944 30893.766999999996
223948.99601904047 32090.389000000006
175472.62644619818 33317.518999999986
139990.12609044218 34575.539
109073.68651885257 35864.83400000002
85624.07403645245 37185.789
65564.86743304522 38538.78600000001
51363.820807215336 39924.211
38412.63724915445 41342.446
28004.66337817863 42793.87699999999
21323.55719854691 44278.886999999995
16154.198121508205 45797.85899999999
11879.275690316923 47351.179
8372.079176387322 48939.229999999996
6272.32844305399 50562.395999999986
4648.583396079168 52221.06099999999
3341.959392482776 53915.60899999999
2354.682767311662 55646.424
1493.8485044131316 57413.89000000001
834.2028246780847 59218.39100000003
478.53390665638483 61060.31099999999
228.66779116158213 62940.03399999999
185.76696501152736 64857.94400000001
0.5920038494080678 66814.42500000002
-147.796572782409 68809.86199999998
-234.0579352437307 70844.637
-266.7300219466466 72919.13599999997
-331.3997757172141 75033.741
-349.18979702354005 77188.83700000003
-347.3133628781285 79384.80899999998
-335.6195436238932 81622.04000000001
-302.6223479804493 83900.91299999997
-262.81081284643795 86221.814
-266.4831584488494 88585.126
-242.1824009175121 90991.232
-237.71165710216258 93440.518
-246.08560569907254 95933.36700000001
-236.3024398438618 98470.16299999997
-225.80772585888892 101051.29000000001
-212.38723130330627 103677.12999999998
-191.726925187143 106348.07000000004
-184.22672995753098 109064.5
-186.99220763552808 111826.79000000001
-181.22598040733172 114635.33000000003
-175.90633997840035 117490.51000000001
-149.16284663032542 120392.69999999997
-150.5562667337329 123342.30000000003
-131.01747934980534 126339.68999999996
-131.2687129454584 129385.25
-128.9342025813471 132479.35999999993
-124.96710235730099 135622.40999999995
-115.14552776312802 138814.79
-117.85351833243304 142056.87000000005
-116.4818379770605 145349.04
-110.47493934549155 148691.68999999997
-118.98277378553 152085.18999999997
-113.96843809576762 155529.93999999997
-117.27328272093007 159026.32
-114.96139345523989 162574.71
-113.66323362146169 166175.49000000005
-113.4565477886463 169829.05
-109.04069172518945 173535.78
-121.83399759254247 181110.25
-178.35307958782587 184978.77000000002
-325.22783918639306 188901.99000000005
-648.9603339550351 192880.29
-1115.2835202417334 196914.06000000003
-1670.8789714867232 201003.68
-2289.2255126268324 205149.52999999994
-2945.9105727546034 209352.0
-3639.6360138777554 213611.48000000004
-4349.531077943387 217928.33999999997
-5063.5622980335675 222302.9700000001
-5793.831461297595 226735.75999999995
