Pressure Volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 18774.073999999997
nan 19634.564000000002
nan nan
821043.6834811474 21433.624000000003
nan 22372.962999999996
nan nan
404830.8660278091 24333.178000000007
nan nan
nan 26404.668999999998
192323.29498935238 27483.102999999996
148904.48260929476 28590.508000000005
113777.21203181762 29727.267999999996
85857.76306025304 30893.766999999996
67211.65872479018 32090.389000000006
51725.11832130778 33317.518999999986
40321.10083815608 34575.539
31364.315182262308 35864.83400000002
23937.177838030813 37185.789
18357.033837905547 38538.78600000001
13387.165632293623 39924.211
10252.073098308907 41342.446
6787.245010121509 42793.87699999999
5330.854254089941 44278.886999999995
3507.437591881498 45797.85899999999
2781.34850193991 47351.179
1917.6275308574097 48939.229999999996
1258.8369430093123 50562.395999999986
673.1819153551135 52221.06099999999
40.16162732690968 53915.60899999999
236.51758945761117 55646.424
-166.31245966819316 57413.89000000001
-436.8076535845747 59218.39100000003
-473.5656006232105 61060.31099999999
-526.4320903578792 62940.03399999999
-476.2819053548127 64857.94400000001
-386.8077180785445 66814.42500000002
-494.76728182763105 68809.86199999998
-464.8336854251234 70844.637
-475.99635562259243 72919.13599999997
-469.2942883776813 75033.741
-431.5632740632895 77188.83700000003
-396.4612537924579 79384.80899999998
-495.9888701401825 81622.04000000001
-329.9184616558483 83900.91299999997
-298.33149016731727 86221.814
-281.49535164134346 88585.126
-244.39996344263773 90991.232
-233.84535044378782 93440.518
-223.45677936998874 95933.36700000001
-212.49649866712315 98470.16299999997
-217.0997429408096 101051.29000000001
-195.02835318430039 103677.12999999998
-187.00950235794565 106348.07000000004
-178.5186972740198 109064.5
-179.1640250047645 111826.79000000001
-170.78800674840548 114635.33000000003
-158.26586443824831 117490.51000000001
-157.16915093092547 120392.69999999997
-149.72411697266506 123342.30000000003
-143.68689770667754 126339.68999999996
-139.21775627595517 129385.25
-131.6572493464842 132479.35999999993
-109.97990027065264 135622.40999999997
-116.4921980359013 138814.79
-115.82684390069146 142056.87000000005
-117.24843045629963 145349.04
-125.44562174123612 148691.68999999997
-116.19222039670551 152085.18999999997
-123.26751080065391 155529.93999999997
-122.83266371240948 159026.32000000004
-118.61519877802394 162574.71
-116.28627704699473 166175.49000000005
-119.22557458291094 169829.05
-114.01156118437629 173535.77999999997
-128.5133978712755 181110.25
-188.0749527084007 184978.77000000002
-334.35109103012087 188901.99000000005
-659.128949453589 192880.29
-1127.599633259426 196914.06000000003
-1682.5384404484528 201003.68000000002
-2296.5907310159087 205149.52999999994
-2954.6471407365652 209352.0
-3645.619315056996 213611.47999999998
-4357.738519779532 217928.33999999994
-5079.368142966303 222302.97000000006
-5801.829213215583 226735.75999999995
