Pressure    Volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
703368.8775843404 28590.50800000001
nan nan
nan 29727.268
510504.4161064955 30306.77600000001
452540.0484214502 30893.766999999996
406269.0038947633 31488.288999999993
nan nan
327232.6899685297 32700.116999999984
290139.5177983384 33317.518999999986
261819.83214123867 33942.643999999986
231494.2585863545 34575.539
206928.39096802616 35216.25300000001
183750.38731243706 35864.83400000002
164131.50773036253 36521.33000000001
145469.74706571 37185.789
131567.26197507553 37858.258000000016
114828.54920694864 38538.786
103234.27078049087 39227.42099999999
89915.63159843907 39924.211
79499.68345380161 40629.202999999994
69933.24520543806 41342.446
60981.78150226586 42063.988000000005
54046.520996852974 42793.87699999999
48477.318653197384 43532.161
42211.432485714286 44278.886999999995
35981.841388343404 45034.104000000014
31569.09534050856 45797.85899999998
28599.395265357503 46570.20200000001
23248.661011329306 47351.179
20229.793264979853 48140.83900000001
17814.775743831822 48939.22999999999
15492.488645059786 49746.40000000002
13607.470754657605 50562.39599999998
11583.348260309667 51387.267
10176.472834957201 52221.060999999994
9056.267849886706 53063.82499999998
7508.227386996475 53915.60899999998
6511.606578335852 54776.45900000003
5478.171007036758 55646.424
4661.749344423464 56525.550999999985
3943.740556534491 57413.89000000001
3329.4864889904334 58311.48699999999
2800.8423952580565 59218.39100000003
2484.4415047956945 60134.648999999976
2011.9829536269888 61060.310999999994
1803.8814912649798 61995.42299999998
1482.8608963118454 62940.03399999999
1308.3227477358764 63894.19200000002
878.1102197881445 64857.94400000001
814.9543742050251 65831.33900000002
680.2188138161858 66814.42500000002
534.5726830103296 67807.25
407.3284309329821 68809.86199999998
292.8241119661745 69822.30799999999
226.6386346829922 70844.637
131.1186082742737 71876.897
65.09079664974584 72919.13599999998
-12.170091894850199 73971.40099999998
-81.64301558887838 75033.741
-145.98367633158736 76106.20400000001
-159.87650968499247 77188.83700000003
-185.9601954841595 78281.68999999997
-199.8538052548634 79384.80899999998
-229.56391785546197 80498.24299999999
-210.62491555073638 81622.04000000001
-206.67078264686862 82756.24699999999
-191.3753749843458 83900.91299999997
-209.024501085822 85056.08599999998
-206.2730252226482 86221.814
-215.39440863929366 87398.14400000001
-181.29273135779457 88585.12600000002
-209.24417917509854 89782.80600000003
-202.105906550879 90991.23199999999
-186.739510163891 92210.45399999998
-197.84995525956822 93440.51800000001
-199.4200202497325 94681.473
-207.94365969595796 95933.36700000003
-202.3247996270446 97196.24799999998
-193.29258302201927 98470.16299999997
-199.8620086750793 99755.16100000001
-210.22768842891992 101051.29000000002
-193.11437940642875 102358.6
-193.01563100748868 103677.12999999998
-193.6311586550876 105006.93999999997
-177.68063659311667 106348.07000000005
-182.51363870928486 107700.58000000002
-184.25825332235397 109064.5
-184.62118525382792 110439.88999999994
-183.31429223343713 111826.79000000002
-165.49738618472156 113225.25
-169.68936313186768 114635.33000000002
-150.27788854736608 116057.07000000005
-153.1491486828162 117490.51000000001
-145.53806999930137 118935.69999999998
-138.2305155005073 120392.69999999998
-166.39494339853348 121861.55000000002
-133.94804012921324 123342.30000000002
-138.5116515349071 124835.0
-130.27296769934327 126339.68999999997
-124.95038144057642 127856.41999999995
-132.99043159934095 129385.25
-124.07369705709768 130926.20999999998
-120.47783990184655 132479.35999999993
-116.01364285541327 134044.74
-120.80415999915695 135622.40999999997
-110.46112362802995 137212.40999999997
-113.37735706361012 138814.79
-110.33851739078692 140429.59000000003
-112.06847073695317 142056.87000000005
-111.30207871443889 143696.66999999998
-115.29445656648961 145349.04
-113.00960670264065 147014.03
-115.27410985739661 148691.68999999997
-115.08531886005376 150382.06000000003
-110.25097128810171 152085.18999999997
-109.05716673022454 153801.14000000007
-108.26854581039187 155529.93999999997
-111.3617903362998 157271.66
-117.0360822262652 159026.32
-109.96722852346622 160793.99
-108.08265761835645 162574.71
-103.89987041252718 164368.52999999997
-111.54974972453708 166175.49000000005
-104.77968292955595 167995.64999999997
-110.0604808661212 169829.05
-102.41969162411367 171675.75
-105.76463146304934 173535.77999999997
-99.53989158632272 175409.20000000004
-107.56212070028847 179196.39000000007
-116.84331986100875 181110.25
-136.5391021360541 183037.70000000004
-166.74744542162543 184978.76999999996
-225.42148931716363 186933.51999999996
-314.97511520419243 188901.99000000002
-447.6771785598905 190884.23000000004
-632.4803854699812 192880.29
-858.2753318018881 194890.22000000006
-1103.974044799245 196914.06000000003
-1372.191220254248 198951.8599999999
-1658.9806105022026 201003.68000000002
-1963.8081604782883 203069.54999999996
-2277.784707753304 205149.52999999994
-2605.1241652485837 207243.66000000003
-2937.5752526117053 209352.0
-3277.159870178751 211474.58999999997
-3629.5832525739456 213611.48000000004
-3984.7847318816866 215762.71
-4341.513415078666 217928.33999999997
-4701.254802894902 220108.41000000003
-5065.481641674008 222302.9700000001
-5425.045081006922 224512.06999999998
-5785.626959018251 226735.75999999998
