Pressure    Volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 35216.253
nan nan
nan nan
nan nan
nan nan
1056793.2245468278 38538.786
nan nan
876128.0085712487 39924.211
nan 40629.20300000001
nan nan
nan nan
600175.1688658107 42793.87699999999
545168.4950188822 43532.161
496309.7932414401 44278.886999999995
nan nan
406170.8527731621 45797.85899999998
369514.2614841389 46570.20200000001
334813.1282779456 47351.179
305745.41766238667 48140.83900000001
276192.288923716 48939.22999999999
250191.44559541793 49746.40000000001
226000.29415407858 50562.39599999998
205357.52974572004 51387.267
186341.02318605233 52221.060999999994
167597.37461858007 53063.82499999998
153155.32597809666 53915.60899999998
137157.65120845923 54776.45900000003
125181.98815206447 55646.424
112183.84546072506 56525.550999999985
100963.81064086102 57413.89000000001
nan nan
nan nan
73779.13365563247 60134.64899999998
66418.05680679673 61060.31099999999
59451.521035246726 61995.42299999998
53997.757828571426 62940.034
48591.97423536816 63894.19200000002
43503.76740792952 64857.94400000001
39368.23608772813 65831.33900000002
34791.467046324266 66814.42500000002
31217.973052492445 67807.25
28079.63221550856 68809.86199999998
25398.53325088117 69822.30799999999
22988.181279330314 70844.637
20205.93649528005 71876.897
18199.81533006042 72919.13599999998
16304.3989826284 73971.40099999998
14718.63705085599 75033.741
13009.173485771846 76106.20400000001
11771.739156218531 77188.83700000003
10498.198474924473 78281.68999999997
9423.367331948639 79384.80899999998
8445.479864526686 80498.24299999999
7605.200255871618 81622.04000000001
6820.116798074017 82756.24699999999
6217.3922798086605 83900.91299999997
5738.597499156595 85056.08599999998
5199.895931243706 86221.814
4621.254523199899 87398.14400000001
4178.4042389476335 88585.12600000002
3778.8444593403824 89782.80600000003
3408.9905390483386 90991.23199999999
3087.50184893001 92210.45399999998
2785.752370681017 93440.51800000001
2508.4476323502013 94681.473
2268.7472760221553 95933.36700000003
2031.9799076535749 97196.24799999998
1852.2481131130414 98470.16299999997
1688.237773742447 99755.16100000001
1497.9178958837613 101051.29000000002
1359.4899098786507 102358.6
1257.8476095228475 103677.12999999998
1131.6402159760446 105006.93999999997
1028.3331678217837 106348.07000000005
921.2781729704845 107700.58000000002
844.3108464919385 109064.5
772.9520322469538 110439.88999999994
680.9750370865282 111826.79000000002
621.0996326608346 113225.25
558.0841589439963 114635.33000000002
503.06487499062433 116057.07000000005
469.836612758186 117490.51000000001
416.765217215546 118935.69999999995
368.63163243460275 120392.69999999995
354.0188038467741 121861.55000000005
318.48594499719104 123342.30000000005
298.18582145658297 124835.0
267.6710466634668 126339.68999999996
229.95939756622596 127856.41999999995
220.79627800869528 129385.25
188.0712873551013 130926.20999999998
175.38538036807464 132479.35999999993
155.02469977587853 134044.74
146.43964568376728 135622.40999999997
122.61670972867087 137212.40999999997
109.50432000006168 138814.79
93.84868763587892 140429.59000000003
87.36763409638172 142056.87000000005
80.3718569761722 143696.66999999998
64.34652701809883 145349.04
56.7877749976905 147014.03
53.53577544011802 148691.68999999997
45.532189233277286 150382.06000000003
34.56456924488874 152085.18999999997
30.648088533445563 153801.14000000007
19.215850166991817 155529.93999999997
16.51417535312322 157271.66
8.846198657937569 159026.32
7.4475573790438006 160793.99
4.370692141474259 162574.71
-0.976571954227822 164368.52999999997
-3.1038839749954947 166175.49000000005
-4.50623223088433 167995.64999999997
-5.384001988909501 169829.05
-4.8676642945161746 171675.75
-9.371116682658528 173535.77999999997
-7.019041559944998 175409.20000000004
-13.04513112942832 179196.39000000007
-21.794222555824287 181110.25
-44.712863072807174 183037.70000000004
-83.44886837357697 184978.76999999996
-134.15991652752675 186933.51999999996
-227.9781727020614 188901.99000000002
-365.2273992292007 190884.23000000004
-546.5540622617873 192880.29
-769.9413508963121 194890.22000000006
-1024.412670213971 196914.06000000003
-1291.844821724355 198951.8599999999
-1581.6813405210826 201003.68000000002
-1884.1551276526118 203069.54999999996
-2198.180222806797 205149.52999999994
-2526.706013001888 207243.66000000003
-2864.904409452486 209352.0
-3207.7059464191316 211474.58999999997
-3562.48532903713 213611.48000000004
-3916.052839194462 215762.71
-4277.498046620515 217928.33999999997
-4638.566542769037 220108.41000000003
-5002.138507413468 222302.9700000001
-5364.039177646318 224512.06999999998
-5724.431132649464 226735.75999999998
