Pressure    Volume
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan nan
nan 32700.117
nan nan
nan nan
nan 34575.539
952925.3179393252 35216.25300000001
865245.3794438008 35864.83400000001
nan 36521.33000000001
nan nan
642855.6357197696 37858.25800000001
nan nan
527504.6319876637 39227.42099999999
476985.2810599194 39924.211
432219.6089577039 40629.202999999994
389926.3160913897 41342.446
351464.2610271903 42063.988000000005
317440.3899320242 42793.87699999999
285474.5888242699 43532.161
258992.88378902315 44278.886999999995
234056.28175609757 45034.104
nan 45797.85900000002
189854.82630790534 46570.20200000001
171811.9316364552 47351.179
155855.3070166163 48140.83900000001
138366.1284932024 48939.22999999999
123854.34991943605 49746.40000000001
112169.08270140988 50562.39599999998
100349.02800918932 51387.267
90286.44620329808 52221.060999999994
80246.92864954681 53063.82499999998
72404.76620405338 53915.60899999998
64565.41165445619 54776.45900000003
57482.68806306647 55646.424
51889.74047507553 56525.550999999985
45284.12883660624 57413.89000000001
40062.40284581498 58311.48699999999
36675.99885913897 59218.39100000003
32590.211158862032 60134.648999999976
28298.886900302117 61060.310999999994
25823.950209314033 61995.42299999999
22944.023942094664 62940.03399999999
20353.700617824776 63894.19200000002
18223.107288267875 64857.94400000001
16303.867385951662 65831.33900000002
14459.70762713998 66814.42500000002
12722.910467145013 67807.25
11411.304317673717 68809.86199999998
9974.70516523162 69822.30799999999
8959.428262789526 70844.637
7845.320208006042 71876.897
nan nan
6288.701650717524 73971.40099999998
5676.198996576032 75033.741
5026.1476932527685 76106.20400000001
nan nan
3996.752973099194 78281.68999999997
3569.386715483384 79384.80899999998
3184.4201328046324 80498.24299999999
2812.0959988003524 81622.04000000001
2514.621378259063 82756.24699999999
2222.5308445506043 83900.91299999997
2018.3223215949147 85056.08599999998
1734.388729174597 86221.814
1552.390290029708 87398.14400000001
1434.733676751498 88585.12600000002
1265.4083661594198 89782.80600000003
1149.3206349835095 90991.23199999999
1008.468066120886 92210.45399999998
896.0674311412184 93440.51800000001
790.9475564032641 94681.473
690.6641355513519 95933.36700000003
601.8957937601448 97196.24799999998
526.0923194042308 98470.16299999997
459.4430452211942 99755.16100000001
403.80051086633887 101051.29000000002
343.1521754022926 102358.6
299.3918410256405 103677.12999999998
284.03449955805263 105006.93999999997
240.3766991528901 106348.07000000005
210.37500415177993 107700.58000000002
171.2546458197524 109064.5
150.9306247210851 110439.88999999994
132.28577890442543 111826.79000000002
118.02702170560214 113225.25
96.0050034576381 114635.33000000002
80.6581721794134 116057.07000000005
63.859181716373044 117490.50999999998
41.71241990235745 118935.69999999995
45.36487288394553 120392.69999999998
31.51139063884791 121861.55000000002
22.981531589838973 123342.30000000002
24.280157023510633 124835.0
11.276380630341851 126339.68999999996
12.622581115519571 127856.41999999997
9.56499238000063 129385.25
3.985684721973944 130926.20999999998
-7.474746071293265 132479.35999999993
-14.487519290082073 134044.74
-10.159499193709756 135622.40999999997
-18.136376789316174 137212.40999999997
-20.515324501956325 138814.79
-23.579129254369036 140429.59000000003
-35.26212669446495 142056.87000000005
-28.37284848995403 143696.66999999998
-40.05142888125361 145349.04
-40.54214880985576 147014.03
-40.74959442239496 148691.68999999997
-46.04448650105349 150382.06000000003
-42.630665201781746 152085.18999999997
-46.24250338520202 153801.14000000007
-55.68582146566066 155529.93999999997
-51.48736037708119 157271.66
-52.8439828519421 159026.32
-52.20396521804141 160793.99
-55.90010447083311 162574.71
-53.620256322536186 164368.52999999997
-55.653039049130015 166175.49000000005
-56.46907209727251 167995.64999999997
-55.023163554133426 169829.05
-51.82731960321649 171675.75
-55.080790887631586 173535.77999999997
-56.9103307509168 175409.20000000004
-60.062715645158214 179196.39000000007
-67.87781955788559 181110.25
-82.13892413816224 183037.70000000004
-121.90712341025475 184978.76999999996
-175.20332180627514 186933.51999999996
-265.62139013611454 188901.99000000002
-402.4658112641718 190884.23000000004
-587.5484195736615 192880.29
-803.5753602453116 194890.22000000006
-1055.3587836463184 196914.06000000003
-1329.8421527879168 198951.8599999999
-1619.097837658905 201003.68000000002
-1918.3708498049086 203069.54999999996
-2232.923216010069 205149.52999999994
-2559.8644644178726 207243.66000000003
-2892.08747466331 209352.0
-3244.1729456765265 211474.58999999997
-3588.417441422278 213611.48000000004
-3942.6202952045305 215762.71
-4304.050491202013 217928.33999999997
-4661.727927690371 220108.41000000003
-5026.899416740088 222302.9700000001
-5387.952569389553 224512.06999999998
-5754.534631239773 226735.75999999998
